Date,Open,High,Low,Close,Volume,Adj Close
2013-02-08,1509.39,1518.31,1509.39,1517.93,2986150000,1517.93
2013-02-07,1512.12,1512.90,1498.49,1509.39,3614580000,1509.39
2013-02-06,1511.29,1512.53,1504.71,1512.12,3611570000,1512.12
2013-02-05,1495.71,1514.96,1495.71,1511.29,3618360000,1511.29
2013-02-04,1513.17,1513.17,1495.02,1495.71,3390000000,1495.71
2013-02-01,1498.11,1514.41,1498.11,1513.17,3836320000,1513.17
2013-01-31,1501.96,1504.19,1496.76,1498.11,3999880000,1498.11
2013-01-30,1507.84,1509.94,1500.11,1501.96,3726810000,1501.96
2013-01-29,1500.18,1509.35,1498.09,1507.84,3949640000,1507.84
2013-01-28,1502.96,1503.23,1496.33,1500.18,3388540000,1500.18
2013-01-25,1494.82,1503.26,1494.82,1502.96,3476290000,1502.96
2013-01-24,1494.81,1502.27,1489.46,1494.82,3699430000,1494.82
2013-01-23,1492.56,1496.13,1489.90,1494.81,3552010000,1494.81
2013-01-22,1485.98,1492.56,1481.16,1492.56,3570950000,1492.56
2013-01-18,1480.95,1485.98,1475.81,1485.98,3795740000,1485.98
2013-01-17,1472.63,1485.16,1472.63,1480.94,3706710000,1480.94
2013-01-16,1472.33,1473.96,1467.60,1472.63,3384080000,1472.63
2013-01-15,1470.67,1473.31,1463.76,1472.34,3135350000,1472.34
2013-01-14,1472.05,1472.05,1465.69,1470.68,3003010000,1470.68
2013-01-11,1472.12,1472.75,1467.58,1472.05,3340650000,1472.05
2013-01-10,1461.02,1472.30,1461.02,1472.12,4081840000,1472.12
2013-01-09,1457.15,1464.73,1457.15,1461.02,3674390000,1461.02
2013-01-08,1461.89,1461.89,1451.64,1457.15,3601600000,1457.15
2013-01-07,1466.47,1466.47,1456.62,1461.89,3304970000,1461.89
2013-01-04,1459.37,1467.94,1458.99,1466.47,3424290000,1466.47
2013-01-03,1462.42,1465.47,1455.53,1459.37,3829730000,1459.37
2013-01-02,1426.19,1462.43,1426.19,1462.42,4202600000,1462.42
2012-12-31,1402.43,1426.74,1398.11,1426.19,3204330000,1426.19
2012-12-28,1418.10,1418.10,1401.58,1402.43,2426680000,1402.43
2012-12-27,1419.83,1422.80,1401.80,1418.10,2830180000,1418.10
2012-12-26,1426.66,1429.42,1416.43,1419.83,2285030000,1419.83
2012-12-24,1430.15,1430.15,1424.66,1426.66,1248960000,1426.66
2012-12-21,1443.67,1443.67,1422.58,1430.15,5229160000,1430.15
2012-12-20,1435.81,1443.70,1432.82,1443.69,3686580000,1443.69
2012-12-19,1446.79,1447.75,1435.80,1435.81,3869800000,1435.81
2012-12-18,1430.47,1448.00,1430.47,1446.79,4302240000,1446.79
2012-12-17,1413.54,1430.67,1413.54,1430.36,3455610000,1430.36
2012-12-14,1419.45,1419.45,1411.88,1413.58,3210170000,1413.58
2012-12-13,1428.48,1431.36,1416.00,1419.45,3349960000,1419.45
2012-12-12,1427.84,1438.59,1426.76,1428.48,3709050000,1428.48
2012-12-11,1418.55,1434.27,1418.55,1427.84,3650230000,1427.84
2012-12-10,1418.07,1421.64,1415.64,1418.55,2999430000,1418.55
2012-12-07,1413.95,1420.34,1410.90,1418.07,3125160000,1418.07
2012-12-06,1409.43,1413.95,1405.93,1413.94,3229700000,1413.94
2012-12-05,1407.05,1415.56,1398.23,1409.28,4253920000,1409.28
2012-12-04,1409.46,1413.14,1403.65,1407.05,3247710000,1407.05
2012-12-03,1416.34,1423.73,1408.46,1409.46,3074280000,1409.46
2012-11-30,1415.95,1418.86,1411.63,1416.18,3966000000,1416.18
2012-11-29,1409.96,1419.70,1409.04,1415.95,3356850000,1415.95
2012-11-28,1398.77,1410.31,1385.43,1409.93,3359250000,1409.93
2012-11-27,1406.29,1409.01,1398.03,1398.94,3323120000,1398.94
2012-11-26,1409.15,1409.15,1397.68,1406.29,2948960000,1406.29
2012-11-23,1391.03,1409.16,1391.03,1409.15,1504960000,1409.15
2012-11-21,1387.79,1391.25,1386.39,1391.03,2667090000,1391.03
2012-11-20,1386.82,1389.77,1377.04,1387.81,3207160000,1387.81
2012-11-19,1359.88,1386.89,1359.88,1386.89,3374800000,1386.89
2012-11-16,1353.36,1362.03,1343.35,1359.88,4045910000,1359.88
2012-11-15,1355.41,1360.62,1348.05,1353.33,3928870000,1353.33
2012-11-14,1374.64,1380.13,1352.50,1355.49,4109510000,1355.49
2012-11-13,1380.03,1388.81,1371.39,1374.53,3455550000,1374.53
2012-11-12,1379.86,1384.87,1377.19,1380.03,2567540000,1380.03
2012-11-09,1377.55,1391.39,1373.03,1379.85,3647350000,1379.85
2012-11-08,1394.53,1401.23,1377.51,1377.51,3779520000,1377.51
2012-11-07,1428.27,1428.27,1388.14,1394.53,4356490000,1394.53
2012-11-06,1417.26,1433.38,1417.26,1428.39,3306970000,1428.39
2012-11-05,1414.02,1419.90,1408.13,1417.26,2921040000,1417.26
2012-11-02,1427.59,1434.27,1412.91,1414.20,3732480000,1414.20
2012-11-01,1412.20,1428.35,1412.20,1427.59,3929890000,1427.59
2012-10-31,1410.99,1418.76,1405.95,1412.16,3577110000,1412.16
2012-10-26,1412.97,1417.09,1403.28,1411.94,3284910000,1411.94
2012-10-25,1409.74,1421.12,1405.14,1412.97,3512640000,1412.97
2012-10-24,1413.20,1420.04,1407.10,1408.75,3385970000,1408.75
2012-10-23,1433.74,1433.74,1407.56,1413.11,3587670000,1413.11
2012-10-22,1433.21,1435.46,1422.06,1433.82,3216220000,1433.82
2012-10-19,1457.34,1457.34,1429.85,1433.19,3875170000,1433.19
2012-10-18,1460.94,1464.02,1452.63,1457.34,3880030000,1457.34
2012-10-17,1454.22,1462.20,1453.35,1460.91,3655320000,1460.91
2012-10-16,1440.31,1455.51,1440.31,1454.92,3568770000,1454.92
2012-10-15,1428.75,1441.31,1427.24,1440.13,3483810000,1440.13
2012-10-12,1432.84,1438.43,1425.53,1428.59,3134750000,1428.59
2012-10-11,1432.82,1443.90,1432.82,1432.84,3672540000,1432.84
2012-10-10,1441.48,1442.52,1430.64,1432.56,3225060000,1432.56
2012-10-09,1455.90,1455.90,1441.18,1441.48,3216320000,1441.48
2012-10-08,1460.93,1460.93,1453.10,1455.88,2328720000,1455.88
2012-10-05,1461.40,1470.96,1456.89,1460.93,3172940000,1460.93
2012-10-04,1451.08,1463.14,1451.08,1461.40,3615860000,1461.40
2012-10-03,1446.05,1454.30,1441.99,1450.99,3531640000,1450.99
2012-10-02,1444.99,1451.52,1439.01,1445.75,3321790000,1445.75
2012-10-01,1440.90,1457.14,1440.90,1444.49,3505080000,1444.49
2012-09-28,1447.13,1447.13,1435.60,1440.67,3509230000,1440.67
2012-09-27,1433.36,1450.20,1433.36,1447.15,3150330000,1447.15
2012-09-26,1441.60,1441.60,1430.53,1433.32,3565380000,1433.32
2012-09-25,1456.94,1463.24,1441.59,1441.59,3739900000,1441.59
2012-09-24,1459.76,1460.72,1452.06,1456.89,3008920000,1456.89
2012-09-21,1460.34,1467.07,1459.51,1460.15,4833870000,1460.15
2012-09-20,1461.05,1461.23,1449.98,1460.26,3382520000,1460.26
2012-09-19,1459.50,1465.15,1457.88,1461.05,3451360000,1461.05
2012-09-18,1461.19,1461.47,1456.13,1459.32,3377390000,1459.32
2012-09-17,1465.42,1465.63,1457.55,1461.19,3482430000,1461.19
2012-09-14,1460.07,1474.51,1460.07,1465.77,5041990000,1465.77
2012-09-13,1436.56,1463.76,1435.34,1459.99,4606550000,1459.99
2012-09-12,1433.56,1439.15,1432.99,1436.56,3641200000,1436.56
2012-09-11,1429.13,1437.76,1429.13,1433.56,3509630000,1433.56
2012-09-10,1437.92,1438.74,1428.98,1429.08,3223670000,1429.08
2012-09-07,1432.12,1437.92,1431.45,1437.92,3717620000,1437.92
2012-09-06,1403.74,1432.12,1403.74,1432.12,3952870000,1432.12
2012-09-05,1404.94,1408.81,1401.25,1403.44,3389110000,1403.44
2012-09-04,1406.54,1409.31,1396.56,1404.94,3200310000,1404.94
2012-08-31,1400.07,1413.09,1398.96,1406.58,2938250000,1406.58
2012-08-30,1410.08,1410.08,1397.01,1399.48,2530280000,1399.48
2012-08-29,1409.32,1413.95,1406.57,1410.49,2571220000,1410.49
2012-08-28,1410.44,1413.63,1405.59,1409.30,2629090000,1409.30
2012-08-27,1411.13,1416.17,1409.11,1410.44,2472500000,1410.44
2012-08-24,1401.99,1413.46,1398.04,1411.13,2598790000,1411.13
2012-08-23,1413.49,1413.49,1400.50,1402.08,3008240000,1402.08
2012-08-22,1413.09,1416.12,1406.78,1413.49,3062690000,1413.49
2012-08-21,1418.13,1426.68,1410.86,1413.17,3282950000,1413.17
2012-08-20,1417.85,1418.13,1412.12,1418.13,2766320000,1418.13
2012-08-17,1415.84,1418.71,1414.67,1418.16,2922990000,1418.16
2012-08-16,1405.57,1417.44,1404.15,1415.51,3114100000,1415.51
2012-08-15,1403.89,1407.73,1401.83,1405.53,2655750000,1405.53
2012-08-14,1404.36,1410.03,1400.60,1403.93,2930900000,1403.93
2012-08-13,1405.87,1405.87,1397.32,1404.11,2499990000,1404.11
2012-08-10,1402.58,1405.98,1395.62,1405.87,2767980000,1405.87
2012-08-09,1402.26,1405.95,1398.80,1402.80,3119610000,1402.80
2012-08-08,1401.23,1404.14,1396.13,1402.22,3221790000,1402.22
2012-08-07,1394.46,1407.14,1394.46,1401.35,3682490000,1401.35
2012-08-06,1391.04,1399.63,1391.04,1394.23,3122050000,1394.23
2012-08-03,1365.45,1394.16,1365.45,1390.99,3751170000,1390.99
2012-08-02,1375.13,1375.13,1354.65,1365.00,4193740000,1365.00
2012-08-01,1379.32,1385.03,1373.35,1375.32,4440920000,1375.32
2012-07-31,1385.27,1387.16,1379.17,1379.32,3821570000,1379.32
2012-07-30,1385.94,1391.74,1381.37,1385.30,3212060000,1385.30
2012-07-27,1360.05,1389.19,1360.05,1385.97,4399010000,1385.97
2012-07-26,1338.17,1363.13,1338.17,1360.02,4429300000,1360.02
2012-07-25,1338.35,1343.98,1331.50,1337.89,3719170000,1337.89
2012-07-24,1350.52,1351.53,1329.24,1338.31,3891290000,1338.31
2012-07-23,1362.34,1362.34,1337.56,1350.52,3717180000,1350.52
2012-07-20,1376.51,1376.51,1362.19,1362.66,3925020000,1362.66
2012-07-19,1373.01,1380.39,1371.21,1376.51,4043360000,1376.51
2012-07-18,1363.58,1375.26,1358.96,1372.78,3642630000,1372.78
2012-07-17,1353.68,1365.36,1345.07,1363.67,3566680000,1363.67
2012-07-16,1356.50,1357.26,1348.51,1353.64,2862720000,1353.64
2012-07-13,1334.81,1357.70,1334.81,1356.78,3212930000,1356.78
2012-07-12,1341.29,1341.29,1325.41,1334.76,3654440000,1334.76
2012-07-11,1341.40,1345.00,1333.25,1341.45,3426290000,1341.45
2012-07-10,1352.96,1361.54,1336.27,1341.47,3470600000,1341.47
2012-07-09,1354.66,1354.87,1346.65,1352.46,2904860000,1352.46
2012-07-06,1367.09,1367.09,1348.03,1354.68,2745140000,1354.68
2012-07-05,1373.72,1373.85,1363.02,1367.58,3041520000,1367.58
2012-07-03,1365.75,1374.81,1363.53,1374.02,2116390000,1374.02
2012-07-02,1362.33,1366.35,1355.70,1365.51,3301650000,1365.51
2012-06-29,1330.12,1362.17,1330.12,1362.16,4590480000,1362.16
2012-06-28,1331.52,1331.52,1313.29,1329.04,3969370000,1329.04
2012-06-27,1320.71,1334.40,1320.71,1331.85,3286910000,1331.85
2012-06-26,1314.09,1324.24,1310.30,1319.99,3412940000,1319.99
2012-06-25,1334.90,1334.90,1309.27,1313.72,3501820000,1313.72
2012-06-22,1325.92,1337.82,1325.92,1335.02,5271490000,1335.02
2012-06-21,1355.43,1358.27,1324.41,1325.51,4094470000,1325.51
2012-06-20,1358.04,1361.57,1346.45,1355.69,3695700000,1355.69
2012-06-19,1344.83,1363.46,1344.83,1357.98,3815350000,1357.98
2012-06-18,1342.42,1348.22,1334.46,1344.78,3259430000,1344.78
